SL.NO.,HEADS CRIME,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,32,4,3,4,,,,,,
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,22,2,2,2,,,,,,
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,22,1,0,1,,,,,,
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,14,0,0,1,,,,,,
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0,,,,,,
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,10,2,1,0,,,,,,
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0,,,,,,
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,0,,,,,,
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0,,,,,,
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2,0,0,1,,,,,,
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0,,,,,,
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0,,,,,,
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,23,1,3,1,,,,,,
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,54,8,5,4,,,,,,
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0,,,,,,
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0,,,,,,
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,23,2,2,2,,,,,,
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0,,,,,,
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0,,,,,,
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,8,0,0,0,,,,,,
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,53,2,7,2,,,,,,
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,94,8,10,3,,,,,,
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0,,,,,,
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0,,,,,,
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,751,66,66,81,,,,,,
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,21,1,3,3,,,,,,
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,67,2,3,13,,,,,,
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,75,7,6,7,,,,,,
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,20,0,3,2,,,,,,
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,34,2,3,2,,,,,,
